PID,0,1,2,3,4,5,6,7,8,9,10,11
GBM0122_T1,-0.15624228,0.7309122,1.5050651,-1.2012367,-0.13788188,0.041277993,-1.3584576,0.3293915,-0.055472557,-1.4443114,1.9087325,-0.16177711
GBM0121_T1,-0.61720115,0.67853045,-1.2559803,-1.0519241,1.7640008,0.5828754,-0.20773876,1.8397812,-0.86837405,0.24490161,-0.8428694,-0.2660016
GBM0120_T1,0.8548552,-0.42631465,-0.5329619,0.63764095,0.59061754,2.053254,0.6202235,-1.8490912,-1.1203542,0.32522854,-0.61235577,-0.5407416
GBM0119_T1,-0.42428944,-0.42896408,-0.9609446,0.8683547,1.2710402,1.784647,-1.0429779,-1.9259467,0.1726595,-0.013502382,0.14260669,0.5573171
GBM0118_T1,-0.23072484,0.8668097,0.688009,-2.041124,-0.50962484,-0.06132944,1.6085106,1.0727816,0.18518104,-0.99801075,-1.1134714,0.5329934
GBM0117_T1,0.8249886,2.2421331,-1.0201483,-1.3491255,0.0421507,-0.03658763,-0.7038212,0.2876581,-0.47855103,-0.60222584,-0.58904296,1.3825717
GBM0009_T1,-0.060259152,1.5429049,0.60953957,0.2683598,-0.03245441,0.39172888,-2.339445,-0.8225038,0.10236136,-1.202126,1.1055607,0.43633348
GBM0116_T1,-0.71711403,0.53744096,2.0898173,-1.0749522,-0.5801908,0.08686697,1.3098114,-0.9639863,0.618879,-0.50321233,-1.3306783,0.5273185
GBM0115_T1,0.70095426,-0.36834645,1.5298933,-1.3385386,-1.0133939,0.21715954,0.03406826,0.97487783,-0.124628074,-1.2439904,1.6298084,-0.99786407
GBM0114_T1,-0.2632121,2.299714,0.5036275,0.6624905,0.73897415,-0.25943556,-1.4660171,-0.79035485,-1.5280651,-0.14752682,-0.17030525,0.42011073
GBM0113_T1,-0.066153355,2.120373,0.51213795,0.12470936,-0.21526574,0.10708312,1.5573748,-0.7603526,-1.5092936,-0.96965456,-0.9683523,0.067394085
GBM0112_T1,0.41329682,-0.62352866,-0.31465554,0.89909685,0.38509375,1.7315446,1.5285642,-1.6575049,-1.3391014,-0.051419277,-0.35339174,-0.6179945
GBM0111_T1,1.0724438,-1.0269403,-0.2281807,-0.67372596,1.4295112,1.6751629,0.1220235,-0.27331084,-1.5243334,0.8398941,-1.1083714,-0.30417323
GBM0110_T1,-0.6595204,-0.43351784,0.97751963,-0.90570307,1.5544161,0.09164933,-2.1634834,0.8027105,-0.5616652,-0.018969983,1.2367026,0.07986197
GBM0075_T1,0.38146406,2.5870163,-0.106715,-0.70266527,-0.24243648,-0.4602974,0.34164304,-0.42208588,-0.9822849,-0.73816293,-0.9506943,1.2952185
GBM0074_T1,0.51319647,2.253281,-0.016901594,-0.63009286,-0.38197526,-0.20956743,1.198486,-0.70211774,-1.0736281,-0.3134758,-1.478113,0.8409082
GBM0072_T1,-0.20356312,-0.28524825,2.0567174,-1.8644841,-1.0393919,-0.32552528,0.96163726,-0.1215637,0.9553944,0.034909595,-0.83167726,0.6627952
GBM0008_T1,0.29932064,-2.5903893,0.24471916,0.30592763,1.1203642,1.187879,0.767909,0.23293644,-0.9035505,-0.893137,-0.10564972,0.33367044
GBM0071_T1,-0.56103915,1.5911041,0.624556,0.13245606,1.3452164,0.32062498,-1.9922221,0.19316229,-1.6671284,-0.0018427693,0.16232239,-0.14720994
GBM0070_T1,0.5395694,-0.82814044,-0.8640658,-1.174221,1.7664768,1.0706835,0.5186224,1.1904786,-1.6711762,0.0009487996,-0.25218117,-0.2969946
GBM0069_T1,1.1496667,1.7984453,-1.0819404,-0.37580737,0.5418731,-0.4396515,0.80024815,-0.30854413,-2.0837178,-0.24681444,-0.36493772,0.6111801
GBM0068_T1,0.5209665,1.9485894,-0.26663673,0.2728874,0.28662238,-0.5240373,1.2395463,-0.8843278,-1.8890456,-0.1280165,-1.1127942,0.5362462
GBM0067_T1,-0.8065227,-2.397045,0.213574,0.50489455,0.81016076,0.7254091,-0.5128691,0.45548496,0.8157941,-0.9899243,-0.21792799,1.3989714
GBM0066_T1,-0.12839197,0.35276335,-1.8859639,-0.17240825,0.35646772,-0.45416456,1.1662846,1.793004,0.08610998,1.0283414,-1.0210354,-1.1210068
GBM0065_T1,0.7740919,1.3613837,-0.49309552,-0.6514604,-0.26750612,-0.17206088,0.3871357,-1.3321613,0.37017536,0.54430914,-2.0331516,1.51234
GBM0064_T1,0.6693937,0.1821299,0.4252426,-2.5290759,-1.2947965,0.3671339,-0.5796298,1.324892,0.39850062,0.38248864,0.8369163,-0.18319577
GBM0063_T1,0.18602675,1.3913862,0.61575955,-0.46547037,0.10106374,0.030307384,1.961281,-0.11745451,-1.8001003,-1.460266,-0.0074806474,-0.43505266
GBM0062_T1,0.2186153,-0.35880065,-0.33685708,-1.8492782,0.14510906,-0.07138615,0.46419263,2.505421,0.17780796,0.14343934,0.24905427,-1.2873175
GBM0007_T1,-0.1544092,1.8456872,1.5815951,-1.0546792,-0.12333327,0.5640809,-0.29232556,-1.0585831,-0.5039491,-1.4901905,-0.2512323,0.9373391
GBM0061_T1,-0.64226717,-1.3635819,0.31335336,-0.081515186,2.1406693,1.2788765,0.27760974,0.26513296,-1.6578202,0.17525682,-0.013850977,-0.69186336
GBM0060_T1,0.50258476,0.4541051,-1.5302204,0.88145274,0.699767,1.498737,-0.5127991,-2.1335247,-0.028498374,-0.010187796,-0.5645525,0.7431362
GBM0059_T1,0.095297195,-0.7476407,0.2947588,0.7911077,-1.2372732,-1.2300689,-0.14323059,-0.45643649,0.3555942,2.6464,0.16836116,-0.536869
GBM0058_T1,0.31536162,0.23203628,0.20245458,-1.7969122,-1.6753138,-0.80754495,0.19457765,1.6766704,1.0930859,0.910046,0.13321044,-0.47767168
GBM0057_T1,-0.54446316,1.3116814,0.78215104,-0.38799205,0.07902405,-0.32826877,-1.9715184,1.0114359,-0.6302437,-0.7544094,1.7661455,-0.33354244
GBM0056_T1,0.33343706,1.5992343,-0.12134466,-0.8161516,0.3932608,-0.0068652867,0.5932288,1.2279009,-2.043222,-1.2369281,0.7200227,-0.642573
GBM0055_T1,-0.10532094,-0.60088825,0.27393,0.7668396,-1.3186584,-0.9782162,-0.2547942,-0.4737378,0.4514732,2.7547436,-0.09275758,-0.42261297
GBM0054_T1,-0.04583127,1.579755,-0.42027825,0.14897817,-0.8226218,1.4756283,-0.85901874,-1.1175058,1.3306521,-1.0345962,-1.0102884,0.77512676
GBM0053_T1,0.15878437,2.8775852,0.012827706,0.1345303,-0.45955646,0.19008638,-0.66491634,-0.064054534,-1.0483775,-1.2338245,-0.3736635,0.4705791
GBM0052_T1,0.8114928,-0.35706258,0.6399653,-1.041891,-1.6827592,-1.0218443,0.561637,0.8565358,0.6906522,-0.62723607,1.85775,-0.6872402
GBM0006_T1,0.015846657,2.011871,1.0742196,-0.26145655,-0.4185875,0.61052537,1.1428157,-0.84683204,-1.2640731,-1.294431,-0.9275826,0.1576842
GBM0051_T1,0.36702496,2.2515888,0.18597066,0.019221036,0.45505622,0.0030341514,0.15474468,-0.07681611,-2.4275048,-0.73109627,-0.29583842,0.0946149
GBM0050_T1,0.018439695,-0.62959385,0.0923913,0.70389223,-1.1799264,-1.277061,-0.4302053,-0.22144842,0.39904854,2.5529377,0.7489493,-0.7774239
GBM0049_T1,-0.90428364,1.5232621,-0.21252482,0.5171137,1.2678933,1.0280068,-2.0527134,-0.91312546,0.02188606,-0.25840807,-0.62911284,0.612006
GBM0045_T1,-0.7812546,-1.885865,0.081319764,0.31231806,1.6347388,0.7893949,-1.039136,-0.54849625,-0.0017377904,-0.32602584,0.048892714,1.7158512
GBM0043_T1,0.14703605,-0.7714399,0.21688765,1.0314854,-1.393191,-1.4928129,0.22305709,-0.48085174,0.9261628,2.184233,-0.19838324,-0.39218324
GBM0005_T1,0.49741408,1.0147599,1.1355106,-0.7464037,-0.96835697,-0.410691,-1.9671417,-0.13887295,0.19238769,-0.8016147,1.7276864,0.46532264
GBM0041_T1,-0.49822155,0.06477163,1.9699242,-1.6682578,-1.1263211,-0.40822697,1.632833,0.09007592,0.44596633,-0.61416817,-0.38694623,0.49857068
GBM0040_T1,-1.0265002,0.1975269,0.4556469,0.09883499,0.4983199,-1.3760656,-2.139337,0.3560105,0.5353978,1.4377669,1.1979916,-0.23559263
GBM0039_T1,0.66080314,-0.45296255,0.6440162,-0.9226104,-1.4209106,-0.98551375,-0.14038038,0.64608073,0.9242742,1.1188772,1.4734856,-1.5451595
GBM0038_T1,0.304788,-0.6566966,-0.64033896,1.0612682,0.8073133,1.9271952,0.77954984,-1.6796786,-1.3817728,0.12921785,-0.3840836,-0.26676208
GBM0037_T1,0.5483042,2.6403196,-0.024305906,0.19037592,-0.596557,0.49612573,-0.3100369,-1.0200675,-0.91386616,-0.6156184,-1.1085278,0.7138541
GBM0036_T1,-1.5768245,1.123627,-0.7308149,-0.055344645,0.8994707,-0.33107248,-1.8337008,0.6835871,0.91123086,1.3030691,-0.62080795,0.22758077
GBM0035_T1,-0.045973584,1.4695786,-0.055814594,-0.92375714,-0.05365983,-0.38988286,-1.6651431,1.3532623,-0.42314914,-0.8742234,1.8007482,-0.19198543
GBM0034_T1,0.60565215,-0.018735776,0.9135781,-1.4896339,-0.37811077,-0.00023849138,0.09273362,1.8282579,-0.4865317,-1.0343227,1.3580912,-1.3907396
GBM0033_T1,-0.14245164,2.7725132,0.26987135,-0.2791054,-0.28093457,-0.31654772,-0.95327663,0.7621051,-1.0607249,-1.127917,0.09882412,0.2576439
GBM0032_T1,0.22884832,0.7195283,-1.7957301,-0.85717374,0.14710039,0.17394847,0.33318403,1.90792,0.54063344,0.7848739,-1.5252142,-0.65791905
GBM0004_T1,0.05687115,-0.5077846,-0.62079734,1.2082694,0.6483536,1.8857119,1.048461,-1.9336208,-0.8845397,-0.41958547,-0.2900594,-0.19127959
GBM0031_T1,0.47484177,0.8988989,0.08194137,-1.0168642,0.4385424,0.736093,1.4324791,0.19631961,-1.2799689,-2.2221014,0.6255304,-0.36571217
GBM0030_T1,-0.51794386,0.2900697,2.389427,-1.1049613,-0.62165743,0.26020557,0.9973009,-0.9025918,0.46338022,-0.16467454,-1.4441475,0.355593
GBM0013_T2,-0.047870334,0.22995254,2.1802447,-1.9127527,-0.97333133,0.07199343,0.45791417,0.5771714,0.5113292,-1.2667397,0.36575636,-0.19366744
GBM0012_T2,-0.5790046,0.2382914,-1.372064,1.1148943,-0.55534166,-1.4594948,1.1868775,0.53554046,0.9778763,1.4689373,-0.8855564,-0.67095566
GBM0011_T2,0.36505446,1.2961322,-0.09083637,-1.2215244,-0.59186995,-0.5371315,-0.35768682,1.5860635,-0.37651908,-1.4769177,1.7257625,-0.32052663
GBM0010_T2,-0.6047615,1.6396939,-0.7238929,-1.0423594,0.7814137,0.022790214,-1.8062645,1.5555274,-0.32156402,-0.35577154,0.8998754,-0.044686727
GBM0009_T2,-1.1437701,0.9962403,-0.14165755,0.8261418,0.6806271,0.95494,-2.1113744,-1.0064732,1.0831945,-0.70421666,-0.11748668,0.68383455
GBM0008_T2,0.6195643,-0.36603093,0.470913,-1.4627608,0.24923043,-0.47214794,-1.0331091,1.6194675,-0.5246045,-0.16411206,1.9943186,-0.93072844
GBM0007_T2,1.5434846,-0.6239333,-0.22581235,-1.5832738,-0.47189587,-0.67763996,-0.5132625,1.7761576,-0.18991837,-0.08498859,1.5192416,-0.46815902
GBM0006_T2,1.1564325,-1.084485,1.0056133,-0.72034407,-0.35507816,-0.43935224,-1.0114231,0.7420248,-0.19887507,0.2618095,2.017194,-1.3735162
GBM0005_T2,0.34536952,-1.5742598,-0.28912893,1.7036223,-1.6531523,-1.3316742,0.611005,0.11967404,0.6682013,0.14470628,0.26255262,0.99308443
GBM0004_T2,0.12080526,-1.5774736,-0.57864755,0.4611168,1.4361001,1.6387889,1.1185551,-1.0483283,-1.3215336,0.035663288,-0.32000974,0.034963425
GBM0010_T1,0.33247358,2.4596121,0.13694552,-0.70476156,-0.5077941,-0.6199584,0.70009154,-0.21080017,-1.0516081,-1.4517479,-0.04776382,0.96531117
GBM0003_T2,0.9784344,-2.0690186,-0.54976135,0.94134146,-0.833572,-0.09675633,1.3385084,0.9291205,0.3023261,-1.0258529,-0.6877908,0.7730212
GBM0002_T2,-0.5220884,0.2098952,2.4798417,-1.5628233,-0.62475884,0.2298098,0.77135503,-0.5582621,0.5617296,-0.36569166,-1.0513589,0.4323521
GBM0001_T2,0.33552018,-1.6766516,0.024136119,1.3412285,-0.97616464,-1.8210126,-0.004730166,0.7337242,0.7485905,1.3219053,-0.29722533,0.2706792
GBM0123_T1,1.0113523,-0.9583682,-0.3185294,0.03594018,0.95601004,2.1470706,0.3464738,-1.2520773,-1.0920026,0.61395407,-0.92538005,-0.5644436
GBM0070_T2,-0.8625695,-0.3902053,-0.010304538,-0.32820404,1.7251143,2.1563637,-0.22008859,0.76966107,-1.2271706,-0.11024267,-0.5480594,-0.9542946
GBM0068_T2,-1.3455791,1.3995278,-1.0232946,0.08869889,0.26782578,-0.8442167,-1.6542257,1.5711927,0.6345576,0.13218462,0.8699048,-0.09657622
GBM0066_T2,0.12849544,-0.46910033,-0.15540095,0.9416855,-0.873698,-1.5537344,0.21821438,-0.16282979,0.17940201,2.6708014,-0.39542863,-0.52840644
GBM0065_T2,0.7567648,0.9888562,0.026182577,-0.86491245,0.19203001,0.24847396,1.1120609,-1.5568211,-0.36884376,0.43061903,-2.087696,1.123286
GBM0064_T2,0.43104067,-0.8692044,-1.236008,1.2265655,-1.207883,-0.8039679,1.6018486,0.89588493,1.003539,0.055689108,-1.234385,0.13688041
GBM0016_T1,0.22264007,0.4051861,0.3024412,-0.6540885,0.57385343,-1.2573305,-1.1837097,1.2770754,-0.65475154,-0.6617606,2.252037,-0.6215922
GBM0063_T2,0.1333536,-0.24727607,-1.4594394,1.0707217,-0.42551425,-1.8299025,0.70866066,0.8979638,0.38223925,1.5767766,0.24739629,-1.0549798
GBM0062_T2,0.6462473,-0.837791,0.13038953,1.0378436,-0.93902004,-1.7208085,-0.47451332,-0.29723406,0.27489346,1.9376637,1.0620233,-0.81969404
GBM0061_T2,-0.009864097,-2.563813,0.5512834,0.8817755,-0.24722095,-0.089883365,-1.4306045,0.47900078,0.96951747,0.46249455,0.08100133,0.91631293
GBM0060_T2,-0.084421255,-1.228437,0.47814995,1.2740368,-1.1639874,-1.4798279,-0.43468645,-0.1069416,0.7607431,2.063996,0.11064079,-0.18926519
GBM0059_T2,-0.26168248,1.6983969,-1.1810257,0.5008976,0.4521286,0.9887208,-1.9263783,-0.78733355,0.9434869,-0.6285118,-0.4392464,0.6405476
GBM0058_T2,0.2875759,-2.5655992,-0.336139,0.609848,-0.42792788,0.63138354,0.87361914,1.034877,0.5383671,-0.8875493,-0.6939035,0.93544817
GBM0057_T2,-1.5680308,-0.12604152,-0.0152827315,1.1281942,0.50799567,-0.2372954,-1.6563864,0.30550933,1.205996,-1.3174715,0.47444382,1.298369
GBM0056_T2,-0.07630639,-0.56169325,0.33061638,0.5154671,-0.91445756,-0.92784494,-0.20727408,-0.25693056,0.2333596,2.9701316,-0.6261278,-0.4789403
GBM0055_T2,-0.3588954,-2.6295958,0.27651817,0.4728677,0.9927548,0.8040904,-0.34822765,1.0060385,0.18859619,-0.66244674,-0.70244265,0.9607423
GBM0054_T2,0.0987141,-0.7352441,0.73980755,0.65606636,-1.1158022,-1.0150073,-0.519154,-0.6261817,0.421594,2.5840695,0.2849101,-0.7737723
GBM0015_T1,-0.96699685,1.1706203,-0.9091485,-0.9149522,1.2381713,0.17945829,-1.4241025,2.046996,0.0033462746,0.2014398,-0.38839665,-0.23643519
GBM0053_T2,0.34401566,1.8043115,0.76938426,-0.38265827,0.27467448,0.52977645,-0.4487154,0.75690573,-2.1669111,-1.3356227,0.29310054,-0.43826103
GBM0052_T2,-0.5773316,2.0870886,0.76186204,-0.98178405,-0.11281975,-0.28500894,0.29203966,-0.44021946,0.0015447182,-1.0481685,-1.3061463,1.6089436
GBM0051_T2,0.119382225,-0.7985912,0.34613484,0.8680226,-1.2823441,-1.238244,0.03135284,-0.6610086,0.5826823,2.4892216,0.10273072,-0.5593393
GBM0050_T2,0.110710286,-0.73726195,0.25043815,0.86798656,-1.2037401,-1.2469813,-0.07024493,-0.5952316,0.43636855,2.632024,-0.066608615,-0.3774592
GBM0049_T2,-0.026840322,-1.3621699,-0.124862134,1.5684631,-1.6761605,-1.1656383,-0.5523041,-0.18550111,0.6833467,0.9783363,0.9443986,0.9189316
GBM0014_T1,0.3377224,0.48420212,-1.5592297,-0.03100377,-1.0785401,-1.3130546,0.8637786,1.3314111,0.36254618,1.7002833,-0.24256799,-0.8555475
GBM0041_T2,0.56209147,-0.24149863,1.1430149,-0.7174324,-1.7995776,-0.6454151,0.15278119,0.4165551,0.46497688,-0.2217386,2.070167,-1.1839242
GBM0029_T1,-0.39547774,1.4881388,-0.6700743,-0.20856713,1.0556593,-0.41596138,-0.7645518,2.0905762,-0.8475255,0.03086774,0.10769828,-1.4707825
GBM0028_T1,0.3666216,-0.7909718,-0.3365288,1.20611,-1.1820444,-1.6927376,0.5517031,-0.40714094,0.7488032,1.8446054,0.52712446,-0.8355441
GBM0027_T1,0.69853455,0.055921245,0.81857795,-2.5312011,-0.3704559,0.29363346,0.5384984,1.742893,-0.09400167,-0.8926635,0.013907042,-0.27364343
GBM0026_T1,0.22925149,0.2756775,1.7575719,-2.0283523,-1.0828587,-0.2329718,1.0346062,0.81174964,0.14384802,-1.2643766,0.29898652,0.056868106
GBM0025_T1,-0.17125303,-1.798363,0.018902475,0.6951322,1.7253196,1.2973928,0.5978098,-0.99696,-1.4886657,0.12970568,-0.07063629,0.061615735
GBM0024_T1,-1.5547885,-1.1151332,0.34983027,0.05871978,2.4475746,-0.111340076,-0.90672606,0.8924164,-0.6481802,0.38878483,0.11738096,0.08146112
GBM0022_T1,0.29437935,2.7212293,-0.82003653,0.28317657,-0.3553477,-0.59760475,-1.0178933,-0.7074224,-0.18838084,-0.44661045,-0.3418542,1.1763647
GBM0021_T1,-1.126804,1.1730736,-0.10122185,-0.08193238,1.1049819,0.3864574,-2.5736227,0.42811784,-0.1061361,-0.461507,0.59880686,0.7597864
GBM0003_T1,-0.31306344,-0.12357618,-0.4161359,1.0037941,0.16095771,1.3663912,-1.5772848,-1.6382816,1.1043231,-1.0021039,0.2770939,1.1578858
GBM0020_T1,0.36936998,2.2931628,0.10318574,-0.34229586,0.12352589,-0.52135634,0.7744268,0.0062311655,-2.0066304,-1.1108202,-0.21949957,0.53070027
GBM0019_T1,0.30951926,2.4300706,0.27145645,-0.5990017,-0.8301246,-0.5728265,0.5977044,0.20610912,-1.0740699,-1.595695,0.22530045,0.6315571
GBM0123_T2,-0.49561357,-0.0474655,-1.7281594,0.27730584,0.44511488,-0.11807407,1.226456,1.6247753,0.78232294,0.5901219,-1.5060714,-1.0507132
GBM0121_T2,0.34761703,-0.88188404,-0.48859268,1.0276439,0.4229604,2.5270114,-0.56141996,-1.6473186,-0.019656334,-0.35923868,-0.09326694,-0.2738557
GBM0120_T2,1.032123,0.8321091,-0.89968914,0.7713079,-0.45250404,1.8800435,-0.80701596,-1.9873691,0.4708608,-0.1148811,-0.35959408,-0.36539102
GBM0119_T2,-1.8531684,-0.98588973,0.16722357,0.0074570565,2.1583226,0.6272168,-1.4037035,0.24286027,0.017168665,0.087257855,0.32729286,0.60796213
GBM0018_T1,0.26028576,0.9995916,-0.8085324,1.4064825,-0.28014755,1.7937881,-0.9715111,-1.9284648,0.3229998,-0.32431898,-0.34029734,-0.12987545
GBM0118_T2,-0.7630117,-0.7838198,-0.40478218,-1.140195,1.819514,0.6618697,0.09187426,1.559868,0.13198867,0.84905386,-1.4389246,-0.5834353
GBM0117_T2,-1.0446985,0.4896034,-0.38449004,0.90862566,0.3696493,0.9557484,-2.0152693,-0.9217035,1.3374063,-0.92151225,0.19837862,1.0282619
GBM0116_T2,0.38021606,-0.19513664,1.5697675,-1.7733394,-0.48120442,0.3684725,-0.6805529,1.1042371,-0.035109278,-0.65876913,1.5503122,-1.1488934
GBM0115_T2,0.38939342,0.8940698,2.0569785,-1.2402236,-1.0337402,0.20467278,0.027456962,-0.09494789,0.038072355,-1.7831497,0.9156041,-0.3741867
GBM0114_T2,1.5065253,0.14518616,-0.29899934,-0.10490865,-0.1904135,2.0755093,0.021109793,-1.7415613,-0.066115215,0.5247562,-1.2527126,-0.61837614
GBM0113_T2,0.04702924,-1.74652,-1.0190542,1.482951,-0.97271323,-0.80092984,1.1590967,1.0917759,0.86865014,-0.45820266,-0.35598293,0.70389974
GBM0112_T2,-0.5410435,0.6071152,2.3303902,-0.8664322,-0.45217076,0.2500429,1.1815434,-0.9772948,0.09640197,-0.25280485,-1.5595348,0.18378703
GBM0111_T2,0.6668767,-2.3917096,-0.462396,1.1154271,-0.80387956,-0.17153472,0.8688263,0.6884412,0.41456014,-0.84603184,-0.30100447,1.2224249
GBM0110_T2,-0.18577215,-0.78508717,-0.45829326,1.6550382,-1.3807285,-1.9018683,0.4208349,0.065453306,0.7265213,1.4309683,0.07554305,0.33739045
GBM0075_T2,0.4200936,-2.2460272,0.32514694,0.8761477,-0.47617036,0.6234666,-0.11447968,0.3168091,0.2790555,-1.6205934,0.044799786,1.5717516
GBM0017_T1,0.29468194,-0.040908333,1.9475304,-1.1047976,-1.3730314,-0.2811781,-0.03303327,0.57778656,0.56564504,-0.820317,1.4698772,-1.2022555
GBM0074_T2,-0.19688752,-1.4606235,0.084035546,-0.25179648,1.6372263,1.8879355,0.7383307,0.30445954,-1.373966,-0.11740022,-0.31723076,-0.9340833
GBM0073_T2,-0.27893513,-0.27560303,-0.34357843,1.182753,-1.280254,-1.4651921,0.5697606,-0.19132657,0.77558297,2.2617893,-0.41046134,-0.5445351
GBM0072_T2,0.79160756,-0.19684887,0.84679043,-1.5505342,-1.5448253,-1.1941025,0.97232264,1.0113075,0.8776045,-0.6392257,1.0403447,-0.4144409
GBM0071_T2,0.4553863,-1.7394569,0.23156437,1.1501182,-0.94704753,-0.08853933,-0.42701033,0.79146117,0.73350173,-1.570892,-0.20995699,1.6208714
GBM0040_T2,0.51240087,-1.3075914,-0.6489518,1.5970961,-1.2941196,-0.98404104,1.0724232,1.2626225,0.60715514,-0.61169237,-0.77515614,0.5698549
GBM0039_T2,-0.7187797,0.51744825,2.0449457,-1.271791,-0.5072631,-0.1442184,1.6029987,-0.35566434,0.21232629,-0.6635244,-1.2802243,0.56374633
GBM0038_T2,0.83563995,-1.6138505,-0.3387022,1.5449405,-1.4371895,-0.58447653,0.89947665,0.6392103,0.6606262,-1.0537782,-0.45550117,0.90360445
GBM0037_T2,-0.5343887,-0.37858564,-0.021728402,1.0914762,-0.68344367,-1.7686632,-0.40288332,-0.053185817,0.5712896,2.4896302,-0.002491686,-0.3070255
GBM0036_T2,-0.6211587,-0.57216626,-1.7235379,0.5338264,0.44600955,-0.50388306,1.3879825,1.555509,0.9620997,0.51569414,-1.1899235,-0.7904514
GBM0035_T2,0.22764584,-0.53402674,-0.92884773,1.3318402,-1.090357,-2.0040886,0.7409133,0.31912228,0.75002253,1.401615,0.45006934,-0.6639083
GBM0034_T2,0.43240535,-0.81452215,-0.10493899,0.79651,-1.421404,-1.7040688,0.23376308,0.1680488,0.9345728,1.3188869,1.2785398,-1.1177926
GBM0013_T1,0.25787693,-0.6432677,0.021083137,0.8083227,-1.1930699,-1.6434003,-0.046938594,-0.33881205,0.52121794,2.04866,1.1371988,-0.92887086
GBM0033_T2,0.19572449,-0.4106749,-0.49892184,1.3197893,-0.9243442,-2.0260797,0.32745913,-0.21197426,0.6884312,1.909634,0.31645834,-0.68550164
GBM0032_T2,-0.3718157,0.5024461,-1.9357495,0.01640404,0.12209721,-0.40173274,0.8296886,1.5072234,0.95551777,1.0610552,-1.3371582,-0.9479762
GBM0031_T2,0.81501114,-2.3518927,0.24617767,0.85886467,-0.6879888,0.42311242,0.19018605,0.36525443,0.323179,-1.5094705,-0.014453,1.3420196
GBM0030_T2,0.6443557,-1.0376661,0.44195327,0.78573155,-1.1185576,-1.3459052,-0.5562599,-0.49911475,0.2954356,1.9352213,1.2614237,-0.80661756
GBM0029_T2,0.36717078,-0.66770595,-0.35369235,1.0982271,-1.2697048,-1.7778913,0.30975255,-0.24800132,0.8501805,1.8743145,0.5813977,-0.7640477
GBM0027_T2,0.35699818,-1.0191686,0.8741946,-0.12962906,-1.3616369,-0.76817054,-0.6295029,-0.02185088,0.884646,2.1289155,0.80372316,-1.1185187
